2001/01/18           regional medical associates - hamilton            PAGE   1

    Loc     Loc Name
  Hospital
    Nbr

       0    HOME/CLINIC CALEDONIA
       0    HOME/OUT PT. BURLINGTON
       0    HOME OR CLINIC VISITS
       0    CHEDOKE GENERAL
       0    HOLBROOK REHAB. OUT-PATI
       0    CHED PSYCHOGER.SERVICE
       0    DAY HOSPITAL PSYCHOGER.
       0    HOME/OUT-PT. THUNDERBAY
       0    CMH CLINICS CAMBRIDGE
       0    M.D. HALDIMAND/NORFOLK
       0    MOOD DISORDER/HALTON
       0    HOME/CLINICS,ST WILLIAM
       0    HGH OUT-PATIENTS
       0    N.H.C.H.C.
       0    HGH PLASTIC SURGERY O.P.
       0    PALLIATIVE CARE
       0    CLINICAL FELLOW-FAYAD
       0    C.F.DR.R. JOKHIO, ANEST
       0    HENDERSON OUT-PATIENT
       0    STONECHURCH FAM H.C.
       0    CANCER CLINIC
       0    STONECHURCH TRAVEL CLINI
       0    SFHC ADOLES HEALTH CENTR
       0    ARRELL YOUTH CENTRE
       0    C.F. ANAE/DR. NANDAGOPAL
       0    C.F.DR. R. JOKHIO ANEST
       0    SHAVER HOSPITAL CLINIC
       0    ST.JOES OUT-PATIENTS
       0    CFC - FAMILY PRACT UNIT
       0    BONE DENSITY P.I.P.
       0    COMMUNITY SCHIZ. SERVICE
       0    CENTRE DIALYSIS
       0    ST.JOES RENAL DIALYSIS
       0    COMMUNITY PSYCHIATRY
       0    ST.JOES OBS. & GYN. CLIN
       0    W.P.O.P.
       0    CORNERSTONE SCHOOL
       0    HOME/CLINIC PORT DOVER
       0    HOME/ALL OUT PT. ST WIL
       0    HOME/OUT-PT. KITCHENER
       0    HOME/CLINIC PORT ROWAN
       0    HOME/CLINI/RETI GRIMSBY
       0    M.D. FAMILY PRACT UNIT
       0    MUMC S.A.S. CLINICS
       0    HEMOPHILIA OUT-PATIENT
       0    BONE MARROW OUT-PT FS  S
       0    MEDICAL DAY CARE/FEE SPL
       0    MUMC ANAESTHESIA CLINIC
       0    3V2 SPECIAL ACCOUNT
       0    FELLOW OF DR. J HARVEY
       0    GROWTH & DEVELOP. CLINIC
       0    P.I.P. NURSE RESPIROLOGY
       0    ANXIETY DISORDER CLINIC
       0    POST-MI PIP FULL TIME
       0    MUMC NEUROLOGY CLINIC
       0    MUMC G.I. CLINIC 4V
       0    POST-MI PIP PART-TIME
       0    FERTILITY CLINIC
       0    CLINIC PTS. DR. FORREST
       0    TECH. FEES EYE TESTS
       0    MUMC PSYCHIATRY O.P.D.
       0    C.F. ANAE/DR. NANDAGOPA
       0    C.F. DR. JOKHIO ANESTH
       0    MUMC PULMONARY FUNCTION
       0    HOLTER MONITORING
       0    ULTRASOUND T & P PHYSICI
       0    ULTRASOUND PROF TO PHYS
       0    PIP #14 POST MI REFERRAL
       0    ALLERGY/3F CLINIC
       0    ALLERGY TESTING CLINIC
       0    ORBITAL ULTRASOUND
       0    IPG STUDIES, MUMC
       0    MUMC ECG
       0    MUMC ECHOCARDIOGRAPHY
       0    MUMC EMG
       0    MUMC EEG
       0    MISCELLANEOUS INCOME
       0    PRIVATE OFF/SIMCOE
       0    SIMCOE CLINICS/NORFOLK H
       0    HOME/ALL OUT-PATIENTS
       0    OHSWEKEN CLINICS
       0    HOME/CLINICS RETIR STON
       0    PRIVATE OFFICE
       0    DR. PILLERSDORF/OFFICE
       0    BRANT COUNTY/MOOD DISORD
       0    LONDON OFFICE/DR DENT
       0    HAGERSVILLE CLINIC
       0    HOME/CLINICS CAYUGA
       0    REDEEMER/HOME/CL ANCAST
       0    HOME/CLINIC/MOUNT HOPE E
       0    HOME/CLINIC POINT EDWARD
       0    HOME/CLINIC TORONTO
       0    NIAGARA/ST. CATHARINES
       0    C.S.V.R.
       0    HOME/RETIR/OUT PTHAMILTO
       0    HOME/CLIN/RET NIA. FALL
       0    HOME/CLI/RET/ WOODBRIDG
       0    HOME/CLI/RET/DUNDAS
       0    HOME/CLI/RETI BEAMSVILLE
