2016/02/10           Regional Medical Associates - Hamilton            PAGE   1

  Doc  Comp     Amt Net
  Nbr  Code    (SUBTOTAL)
               (SUBTOTAL)

  00M  ABE       8146.00
  017  ABE        881.18
  021  ABE       2435.00
  02F  ABE       3636.15
  036  ABE       1222.10
  03A  ABE       1570.00
  03E  ABE       3195.00
  04A  ABE       1406.76
  05H  ABE       2575.00
  062  ABE       6592.39
  072  ABE        847.21
  07K  ABE       3741.86
  08N  ABE       3016.67
  098  ABE       2675.00
  09N  ABE        965.13
  119  ABE       1406.27
  134  ABE        191.15
  137  ABE       3571.00
  13E  ABE       1435.54
  148  ABE       6220.67
  14E  ABE       5159.36
  14N  ABE       3248.26
  158  ABE       8127.25
  15A  ABE       4321.00
  15B  ABE       4982.01
  15H  ABE       7011.39
  16B  ABE       6621.49
  174  ABE       4008.00
  181  ABE       2927.50
  185  ABE       1320.04
  18H  ABE       4076.75
  19C  ABE       9341.40
  19M  ABE       3009.00
  20C  ABE       3526.17
  21J  ABE       2246.87
  228  ABE       4087.82
  229  ABE       4460.57
  23F  ABE       5242.17
  240  ABE       2646.63
  24C  ABE       1570.00
  24N  ABE        100.00
  25B  ABE       2755.65
  25J  ABE       2764.24
  25L  ABE       3050.81
  26E  ABE       3288.00
  273  ABE       4715.95
  27M  ABE       3167.52
  28C  ABE       1570.00
  29M  ABE       2340.00
  308  ABE       3545.00
  30L  ABE       1538.52
  30N  ABE        990.72
  319  ABE       1570.00
  31K  ABE       1915.60
  32F  ABE       2855.00
  346  ABE       2765.65
  34K  ABE       8418.37
  34M  ABE       2435.00
  358  ABE       8755.95
  35B  ABE         57.40
  35K  ABE       4825.50
  36K  ABE       4216.69
  37J  ABE       3731.02
  386  ABE       1908.22
  38K  ABE        662.00
  405  ABE        652.71
  410  ABE       5196.79
  42F  ABE       4125.97
  438  ABE       5099.92
  43L  ABE       2360.00
  44M  ABE       2640.60
  471  ABE       7934.05
  480  ABE       2724.38
  48M  ABE       3030.00
  496  ABE       1970.00
  49H  ABE       1448.45
  50F  ABE       6133.16
  50K  ABE        250.00
  52J  ABE        516.26
  532  ABE        875.75
  558  ABE       3496.00
  55C  ABE       1570.00
  55J  ABE       4080.51
  567  ABE       1570.00
  58C  ABE       2836.96
  58E  ABE         25.00
  59C  ABE       1900.83
  610  ABE       5229.30
  612  ABE       2605.22
  61C  ABE        879.18
  632  ABE       1204.73
  63L  ABE       2473.50
  65H  ABE        931.00
  665  ABE       2658.74
  66C  ABE        610.73
  67F  ABE       5048.15
  709  ABE       2640.89
  732  ABE       2716.79
  733  ABE        816.87
  742  ABE        926.00
  75A  ABE       4136.61
  75C  ABE       3565.45
  761  ABE       3701.70
  765  ABE        143.46
  773  ABE       2285.77
  77E  ABE       2880.00
  77L  ABE       3214.00
  77N  ABE       1071.00
  781  ABE       1570.00
  78C  ABE       4604.75
  79H  ABE       1874.06
  80H  ABE       2460.52
  828  ABE        745.77
  82H  ABE       2212.97
  82J  ABE        629.90
  831  ABE        500.00
  84F  ABE       8202.31
  84J  ABE       1309.61
  867  ABE       6920.00
  86H  ABE       4150.00
  887  ABE       1312.16
  89K  ABE       4674.44
  901  ABE       2102.76
  90J  ABE       5514.00
  915  ABE        300.00
